num,Database,herb,herb2,Ingredient_Name,Flag,MOLID,PubChem_CID,Biological_Test_Results,BBB_OB,SMILES,genes_from_paper,genes_from_tcmsp,genes_from_pubchem,genes_from_sea,genes_total
2201,TCMID,∂¨ª®,∂¨ª®,"(1r,3r,4r,5s,6s)-1-acetoxy-8-angeloyloxy-3,4-epoxy-5-hydroxybisabola-7(14),10-dien-2-one",,,NO,,,,,,,,
2202,TCMID,∂¨ª®,∂¨ª®,"(3r,4r,6s)-3,4-epoxybisabola-7(14),10-dien-2-one",,,NO,,,,,,,,
2203,TCMID,∂¨ª®,∂¨ª®,(?)-ent-spathulenol,,,13854255,Exist,+-,CC1(C2C1C3C(CCC3(C)O)C(=C)CC2)C,,,,,
2204,TCMID,∂¨ª®,∂¨ª®,1-decene,,,13381,Exist,++,CCCCCCCCC=C,,,,,
2205,TCMID,∂¨ª®,∂¨ª®,1-undecen-3-ol,,,3015762,,+-,CCCCCCCCC(C=C)O,,,,,
2206,TCMID,∂¨ª®,∂¨ª®,"12-methoxy-6,8,11,13-abietatraen-11-ol",,,NO,,,,,"NCOA1,CHRM4,CHRM5,CHRM3,PTGS1,AR,DRD2,GSK3B,ADRA1A,CHRM1,ESR1,RXRA,CHRM2",,,"ESR1,NCOA1,CHRM4,CHRM5,CHRM3,PTGS1,AR,GSK3B,ADRA1A,CHRM1,DRD2,RXRA,CHRM2"
2207,TCMID,∂¨ª®,∂¨ª®,14(r)-hydroxy-7beta-isovaleryloxyoplop-8(10)-en-2-one,,,NO,,,,,,,,
2208,TCMID,∂¨ª®,∂¨ª®,"alpha-carotene-5,6-epoxide",,,NO,,,,,,,,
2209,TCMID,∂¨ª®,∂¨ª®,bauerenol,,,111220,,+-,CC1CCC2(CCC3(C4=CCC5C(C(CCC5(C4CCC3(C2C1C)C)C)O)(C)C)C)C,,,,,
2210,TCMID,∂¨ª®,∂¨ª®,cryptomerion,,,NO,,,,,,,,
2211,TCMID,∂¨ª®,∂¨ª®,faradiol,,,9846222,,-+,CC1C2C3CCC4C5(CCC(C(C5CCC4(C3(CC(C2(CC=C1C)C)O)C)C)(C)C)O)C,,,,,
2212,TCMID,∂¨ª®,∂¨ª®,farcarineiol,,,NO,,,,,,,,
2213,TCMID,∂¨ª®,∂¨ª®,farfaratin,,,6443977,,+-,CCC(=CC(=O)OC1CC(C2C(C1=C)CC(=O)C2C(C)OC(=O)C)C(C)C)C,,,,,
2214,TCMID,∂¨ª®,∂¨ª®,farfugin a,,,NO,,,,,"CHRM3,ADRA1A,CHRM1,ESR1,RXRA,CHRM2",,,"CHRM3,ADRA1A,CHRM1,ESR1,RXRA,CHRM2"
2215,TCMID,∂¨ª®,∂¨ª®,gallic acid-3-o-(6'-o-galloyl)-glucoside,,,NO,,,,,,,,
2216,TCMID,∂¨ª®,∂¨ª®,gallicacid,,,NO,,,,,,,,
2217,TCMID,∂¨ª®,∂¨ª®,hyperin,,,5281643,Exist,--,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,,"PTGS1,PRSS1,NCOA2","GAA,AKR1B1,OPRD1,DLD,OPRM1,OPRK1,CDK5,CDK5R1,MPI,EPHX2","NMUR2,CA2,AKR1B1,CA4,CA7,P4HB,CA12,IL2,ADRA2C,ALPI,NOX4,RPS6KA3","CA2,CA4,OPRD1,PRSS1,DLD,OPRM1,CA7,P4HB,CDK5,RPS6KA3,CDK5R1,MPI,NOX4,GAA,NMUR2,AKR1B1,PTGS1,CA12,OPRK1,IL2,NCOA2,ADRA2C,ALPI,EPHX2"
2218,TCMID,∂¨ª®,∂¨ª®,lutein epoxide,,,5281244,,++,CC1=CC(CC(C1C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C)C)C)(C)C)O,,,,,
2219,TCMID,∂¨ª®,∂¨ª®,methyl butyric acid tussilagin ester,,,NO,,,,,NCOA2,,,NCOA2
2220,TCMID,∂¨ª®,∂¨ª®,"methyl butyricacid 3,14-dehydro-z-tussilaginester",,,NO,,,,,,,,
2221,TCMID,∂¨ª®,∂¨ª®,methyl butyricacid tussilagin ester,,,NO,,,,,,,,
2222,TCMID,∂¨ª®,∂¨ª®,neotussilagolactone,,,131751132,,+-,CCC(=CC(=O)OC1C=C(C2C(C1=C)COC(=O)C2=CC)C(C)C)C,,,,,
2223,TCMID,∂¨ª®,∂¨ª®,phi-taraxasterol,,,NO,,,,,,,,
2224,TCMID,∂¨ª®,∂¨ª®,rutin,,,5280805,Exist,--,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,,"FCER2,POR,ITGB2,RELA,GSTP1,CASP3,ALOX5,DIO1,INS,IL6,TBXA2R","KDM1A,AKR1B10,ACHE,MITF,PRSS1,GSK3B,DLD,NFKB1,EIF4H,ESR1,POLK,PRSS3,MPI,GAA,NMUR2,ADRA2A,RELA,PRSS2,PABPC1,GFER,ADRA2C,ALPI,POLB,NFKB2,EPHX2","NMUR2,AKR1B1,CA4,ACHE,CA7,ADRA2A,P4HB,CA12,ADRA2C,ALPI,XDH,NOX4,RPS6KA3","KDM1A,CA4,AKR1B10,ACHE,GSK3B,ITGB2,CASP3,NFKB1,EIF4H,INS,ESR1,PRSS3,POLK,XDH,GAA,NMUR2,AKR1B1,ADRA2A,CA12,ALOX5,IL6,ALPI,EPHX2,FCER2,MITF,PRSS1,DLD,CA7,P4HB,GSTP1,RPS6KA3,TBXA2R,MPI,NOX4,POR,RELA,PRSS2,PABPC1,DIO1,GFER,ADRA2C,POLB,NFKB2"
2225,TCMID,∂¨ª®,∂¨ª®,senkirkine,,,5281752,Exist,++,CC=C1CC(C(C(=O)OCC2=CCN(CCC(C2=O)OC1=O)C)(C)O)C,,NCOA2,,,NCOA2
2226,TCMID,∂¨ª®,∂¨ª®,senkyunolide a,,,3085257,,+-,CCCCC1C2=C(C=CCC2)C(=O)O1,,"GABRA1,GRIA2",,,"GABRA1,GRIA2"
2227,TCMID,∂¨ª®,∂¨ª®,tussilagine,,,185071,,+-,CC1(CN2CCCC2C1C(=O)OC)O,,"CHRM3,CHRM2,CHRM1,GABRA1,GRIA2",,,"CHRM3,CHRM2,CHRM1,GABRA1,GRIA2"
2228,TCMID,∂¨ª®,∂¨ª®,tussilagone,,,13919185,,+-,CCC(=CC(=O)OC1CC(C2C(C1=C)CC(=O)C2C(C)OC(=O)C)C(C)C)C,,,,,
2229,TCMID,∂¨ª®,∂¨ª®,tutin,,,75729,Exist,+-,CC(=C)C1C2C(C3(C4(CO4)C5C(C3(C1C(=O)O2)O)O5)C)O,,GLRA1,,,GLRA1
2230,TCMID,∂¨ª®,∂¨ª®,"beta-carotene-5,6-epoxide",,,14192316,,+-,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC23C(CCCC2(O3)C)(C)C)C)C,,,,"RARG,RBP4,RXRG,RXRB,RARA,RXRA","RARG,RBP4,RXRG,RXRB,RARA,RXRA"
1541,TCMID,ªØÈŸ∫Ï,ªØÈŸ∫Ï,aurapten,,,1550607,Exist,+-,CC(=CCCC(=CCOC1=CC2=C(C=C1)C=CC(=O)O2)C)C,,,,"MAOA,CA7,MTNR1A,CA13,CA12,MAOB,ALOX15,CA9","MAOA,MTNR1A,CA7,CA13,CA12,MAOB,ALOX15,CA9"
1542,TCMID,ªØÈŸ∫Ï,ªØÈŸ∫Ï,citral,,,638011,Exist,+-,CC(=CCCC(=CC=O)C)C,,"NFKBIA,RELA,CYP2B6",,,"NFKBIA,RELA,CYP2B6"
1543,TCMID,ªØÈŸ∫Ï,ªØÈŸ∫Ï,marmin,,,6450230,Exist,++,CC(=CCOC1=CC2=C(C=C1)C=CC(=O)O2)CCC(C(C)(C)O)O,,,BCL2L1,"NDUFV1,NDUFAF1,NDUFS1,NDUFAB1,NDUFS5,NDUFA7,NDUFB1,NDUFB5,NDUFAF3,NDUFC2,NDUFS4,NDUFS8,MT-ND2,NDUFB9,NDUFA2,NDUFC1,NDUFB11,CA12,NDUFA4L2,NDUFA11,NDUFAF4,NDUFB6,MT-ND4,CA9,MT-ND6,NDUFS3,NDUFA4,CA7,NDUFS2,NDUFA8,NDUFA5,MT-ND5,NDUFS7,NDUFV3,NDUFA3,NDUFA13,NDUFB3,NDUFAF2,NDUFB4,NDUFB2,NDUFS6,CA13,NDUFA12,MT-ND3,MT-ND1,MT-ND4L,NDUFV2,NDUFB8,NDUFA1,NDUFA9,NDUFB10,NDUFA6,NDUFB7,NDUFA10","NDUFV1,NDUFAF1,NDUFS1,NDUFAB1,NDUFS5,NDUFA7,NDUFB1,NDUFB5,MT-ND2,NDUFS8,NDUFS4,NDUFAF3,NDUFC2,NDUFB9,NDUFA2,NDUFC1,NDUFB11,CA12,NDUFA4L2,NDUFA11,NDUFAF4,NDUFB6,MT-ND4,CA9,MT-ND6,NDUFS3,NDUFA4,CA7,NDUFS2,NDUFA8,NDUFA5,MT-ND5,NDUFS7,NDUFV3,NDUFA3,NDUFA13,NDUFAF2,NDUFB3,NDUFB4,NDUFB2,NDUFS6,CA13,NDUFA12,MT-ND3,BCL2L1,MT-ND1,MT-ND4L,NDUFV2,NDUFB8,NDUFA1,NDUFA9,NDUFB10,NDUFA6,NDUFB7,NDUFA10"
1544,TCMID,ªØÈŸ∫Ï,ªØÈŸ∫Ï,meranzin,,,1803558,,++,CC1(C(O1)CC2=C(C=CC3=C2OC(=O)C=C3)OC)C,,,,,
1545,TCMID,ªØÈŸ∫Ï,ªØÈŸ∫Ï,naringin,,,442428,Exist,--,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,,"RASGRF2,RAF1,F7","UBE2N,HPSE,CYP19A1,SLCO1A2","UBE2N,CYP19A1","CYP19A1,SLCO1A2,F7,UBE2N,RASGRF2,RAF1,HPSE"
1546,TCMID,ªØÈŸ∫Ï,ªØÈŸ∫Ï,neohesperidin,,,442439,Exist,--,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)CO)O)O)O)O)O,,"PTGS1,NCOA2",,CYP19A1,"PTGS1,CYP19A1,NCOA2"
1547,TCMID,ªØÈŸ∫Ï,ªØÈŸ∫Ï,nobiletin,,,72344,Exist,-+,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,,"CASP9,PTGS1,AR,PRSS1,EPHB2,GSK3B,F7,TIMP1,BCL2,PPARG,NCOA2,TP53,CD163,ESR1,CHEK1,MAPK8,ESR2","ABCG2,DRD3,KCNMB4,TDP1,KCNMA1,MAP3K3,LRRC26,KCNMB2,ABCB1,CYP3A4,KCNMB1","ABCG2,ABCC1,ABCB1,CYP1B1,CYP1A1","KCNMA1,AR,GSK3B,CYP3A4,TP53,ESR1,MAPK8,PTGS1,EPHB2,ABCC1,KCNMB2,BCL2,PPARG,NCOA2,CD163,CYP1A1,KCNMB1,DRD3,TDP1,KCNMB4,CASP9,PRSS1,LRRC26,F7,CYP1B1,CHEK1,ESR2,ABCG2,MAP3K3,ABCB1,TIMP1"
1548,TCMID,ªØÈŸ∫Ï,ªØÈŸ∫Ï,poncirin,,,442456,Exist,--,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)OC)O)CO)O)O)O)O)O,,,,CYP19A1,CYP19A1
1549,TCMID,ªØÈŸ∫Ï,ªØÈŸ∫Ï,rhoifolin,,,5282150,Exist,--,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,,,,"IL2,P4HB","IL2,P4HB"
6262,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,nonanoic acid,,,8158,Exist,+-,CCCCCCCCC(=O)O,,"CTSD,ISYNA1","ACHE,ESRRA","KDM2A,CES2,SLC22A6,HMGCR,OXER1,PPARA,PLA2G2A,PPARD,FFAR4,CES1,PAM,PPARG,FABP3,GPR84,SLC22A8,TLR2","OXER1,ACHE,ISYNA1,PLA2G2A,PPARD,ESRRA,FFAR4,FABP3,GPR84,SLC22A8,KDM2A,CES2,SLC22A6,HMGCR,PPARA,CTSD,CES1,PAM,PPARG,TLR2"
6263,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,METHYL LINOLEATE,,,5284421,Exist,+-,CCCCCC=CCC=CCCCCCCCC(=O)OC,,"PTGS1,RXRA,NCOA2","GLI3,HSPB1,NR3C1,AR,NR1I2,RARA","CNR1,OXER1,PPARA,CNR2,TRPV1,PPARG,FABP3,FAAH,EPHX2","GLI3,CNR1,NR3C1,OXER1,AR,CNR2,FABP3,RARA,RXRA,FAAH,HSPB1,PTGS1,NR1I2,PPARA,TRPV1,PPARG,NCOA2,EPHX2"
